# wavelength flux
# angstroms ergs^-1cm^-2a^-1 
-20.83558 0.00000000000000000000000000000000000000000000000000
-20.75664 0.00000000000000000000000000000000000000000000000000
-20.67771 0.00000000000000000000000000000000000000000000000000
-20.59877 0.00000000000000000000000000000000000000000000000000
-20.51984 0.00000000000000000000000000000000000000000000000000
-20.44090 0.00000000000000000000000000000000000000000000000000
-20.36197 0.00000000000000000000000000000000000000000000000000
-20.28303 0.00000000000000000000000000000000000000000000000000
-20.20410 0.00000000000000000000000000000000000000000000000000
-20.12516 0.00000000000000000000000000000000000000000000000000
-20.04623 0.00000000000000000000000000000000000000000000000000
-19.96729 0.00000000000000000000000000000000000000000000000000
-19.88836 0.00000000000000000000000000000000000000000000000000
-19.80943 0.00000000000000000000000000000000000000000000000000
-19.73049 0.00000000000000000000000000000000000000000000000000
-19.65156 0.00000000000000000000000000000000000000000000000000
-19.57262 0.00000000000000000000000000000000000000000000000000
-19.49369 0.00000000000000000000000000000000000000000000000000
-19.41475 0.00000000000000000000000000000000000000000000000000
-19.33582 0.00000000000000000000000000000000000000000000000000
-19.25688 0.00000000000000000000000000000000000000000000000000
-19.17795 0.00000000000000000000000000000000000000000000000000
-19.09901 0.00000000000000000000000000000000000000000000000000
-19.02008 0.00000000000000000000000000000000000000000000000000
-18.94114 0.00000000000000000000000000000000000000000000000000
-18.86221 0.00000000000000000000000000000000000000000000000000
-18.78327 0.00000000000000000000000000000000000000000000000000
-18.70434 0.00000000000000000000000000000000000000000000000000
-18.62540 0.00000000000000000000000000000000000000000000000000
-18.54647 0.00000000000000000000000000000000000000000000000000
-18.46754 0.00000000000000000000000000000000000000000000000000
-18.38860 0.00000000000000000000000000000000000000000000000000
-18.30967 0.00000000000000000000000000000000000000000000000000
-18.23073 0.00000000000000000000000000000000000000000000000000
-18.15180 0.00000000000000000000000000000000000000000000000000
-18.07286 0.00000000000000000000000000000000000000000000000000
-17.99393 0.00000000000000000000000000000000000000000000000000
-17.91499 0.00000000000000000000000000000000000000000000000000
-17.83606 0.00000000000000000000000000000000000000000000000000
-17.75712 0.00000000000000000000000000000000000000000000000000
-17.67819 0.00000000000000000000000000000000000000000000000000
-17.59925 0.00000000000000000000000000000000000000000000000000
-17.52032 0.00000000000000000000000000000000000000000000000000
-17.44138 0.00000000000000000000000000000000000000000000000000
-17.36245 0.00000000000000000000000000000000000000000000000000
-17.28352 0.00000000000000000000000000000000000000000000000000
-17.20458 0.00000000000000000000000000000000000000000000000000
-17.12565 0.00000000000000000000000000000000000000000000000000
-17.04671 0.00000000000000000000000000000000000000000000000000
-16.96778 0.00000000000000000000000000000000000000000000000000
-16.88884 0.00000000000000000000000000000000000000000000000000
-16.80991 0.00000000000000000000000000000000000000000000000000
-16.73097 0.00000000000000000000000000000000000000000000000000
-16.65204 0.00000000000000000000000000000000000000000000000000
-16.57310 0.00000000000000000000000000000000000000000000000000
-16.49417 0.00000000000000000000000000000000000000000000000000
