# wavelength flux
# angstroms ergs^-1cm^-2a^-1 
-30.38651 0.00000000000000000000000000000000000000000000000000
-30.30758 0.00000000000000000000000000000000000000000000000000
-30.22864 0.00000000000000000000000000000000000000000000000000
-30.14971 0.00000000000000000000000000000000000000000000000000
-30.07077 0.00000000000000000000000000000000000000000000000000
-29.99184 0.00000000000000000000000000000000000000000000000000
-29.91291 0.00000000000000000000000000000000000000000000000000
-29.83397 0.00000000000000000000000000000000000000000000000000
-29.75504 0.00000000000000000000000000000000000000000000000000
-29.67610 0.00000000000000000000000000000000000000000000000000
-29.59717 0.00000000000000000000000000000000000000000000000000
-29.51823 0.00000000000000000000000000000000000000000000000000
-29.43930 0.00000000000000000000000000000000000000000000000000
-29.36036 0.00000000000000000000000000000000000000000000000000
-29.28143 0.00000000000000000000000000000000000000000000000000
-29.20249 0.00000000000000000000000000000000000000000000000000
-29.12356 0.00000000000000000000000000000000000000000000000000
-29.04462 0.00000000000000000000000000000000000000000000000000
-28.96569 0.00000000000000000000000000000000000000000000000000
-28.88676 0.00000000000000000000000000000000000000000000000000
-28.80782 0.00000000000000000000000000000000000000000000000000
-28.72889 0.00000000000000000000000000000000000000000000000000
-28.64995 0.00000000000000000000000000000000000000000000000000
-28.57102 0.00000000000000000000000000000000000000000000000000
-28.49208 0.00000000000000000000000000000000000000000000000000
-28.41315 0.00000000000000000000000000000000000000000000000000
-28.33421 0.00000000000000000000000000000000000000000000000000
-28.25528 0.00000000000000000000000000000000000000000000000000
-28.17634 0.00000000000000000000000000000000000000000000000000
-28.09741 0.00000000000000000000000000000000000000000000000000
-28.01847 0.00000000000000000000000000000000000000000000000000
-27.93954 0.00000000000000000000000000000000000000000000000000
-27.86061 0.00000000000000000000000000000000000000000000000000
-27.78167 0.00000000000000000000000000000000000000000000000000
-27.70274 0.00000000000000000000000000000000000000000000000000
-27.62380 0.00000000000000000000000000000000000000000000000000
-27.54487 0.00000000000000000000000000000000000000000000000000
-27.46593 0.00000000000000000000000000000000000000000000000000
-27.38700 0.00000000000000000000000000000000000000000000000000
-27.30806 0.00000000000000000000000000000000000000000000000000
-27.22913 0.00000000000000000000000000000000000000000000000000
-27.15019 0.00000000000000000000000000000000000000000000000000
-27.07126 0.00000000000000000000000000000000000000000000000000
-26.99232 0.00000000000000000000000000000000000000000000000000
-26.91339 0.00000000000000000000000000000000000000000000000000
-26.83445 0.00000000000000000000000000000000000000000000000000
-26.75552 0.00000000000000000000000000000000000000000000000000
-26.67659 0.00000000000000000000000000000000000000000000000000
-26.59765 0.00000000000000000000000000000000000000000000000000
-26.51872 0.00000000000000000000000000000000000000000000000000
-26.43978 0.00000000000000000000000000000000000000000000000000
-26.36085 0.00000000000000000000000000000000000000000000000000
-26.28191 0.00000000000000000000000000000000000000000000000000
-26.20298 0.00000000000000000000000000000000000000000000000000
-26.12404 0.00000000000000000000000000000000000000000000000000
-26.04511 0.00000000000000000000000000000000000000000000000000
-25.96617 0.00000000000000000000000000000000000000000000000000
-25.88724 0.00000000000000000000000000000000000000000000000000
-25.80830 0.00000000000000000000000000000000000000000000000000
-25.72937 0.00000000000000000000000000000000000000000000000000
-25.65044 0.00000000000000000000000000000000000000000000000000
-25.57150 0.00000000000000000000000000000000000000000000000000
-25.49257 0.00000000000000000000000000000000000000000000000000
-25.41363 0.00000000000000000000000000000000000000000000000000
-25.33470 0.00000000000000000000000000000000000000000000000000
-25.25576 0.00000000000000000000000000000000000000000000000000
-25.17683 0.00000000000000000000000000000000000000000000000000
-25.09789 0.00000000000000000000000000000000000000000000000000
-25.01896 0.00000000000000000000000000000000000000000000000000
-24.94002 0.00000000000000000000000000000000000000000000000000
-24.86109 0.00000000000000000000000000000000000000000000000000
-24.78215 0.00000000000000000000000000000000000000000000000000
-24.70322 0.00000000000000000000000000000000000000000000000000
